Office Name,Email Address,Abbreviations,,Office of the Registrar [LS],registrar1.ls@ateneo.edu,Registrar
Acquisitions [RL],acquisition.rl.ls@ateneo.edu,Acquisitions,,Office of Admission and Aid [LS],admissions.ls@ateneo.edu,Admissions
Office of the Associate Dean for Academic Affairs [LS],adaa.ls@ateneo.edu,ADAA,,,,
Office of the Associate Dean for the Core Curriculum [LS],adcc.ls@ateneo.edu,ADCC,,,,
Associate Dean for Graduate Programs [LS],adean.adgp.ls@ateneo.edu,ADGP,,,,
Office of the Associate Dean for Graduate Programs [LS],adgp.ls@ateneo.edu,OADGP,,,,
Office of the Associate Dean for Research and Creative Work [LS],adrcw.ls@ateneo.edu,OADRCW,,,,
Office of the Associate Dean for Student Affairs [LS],adsa.ls@ateneo.edu,ADSA,,,,
Office of the Associate Dean for Student & Admin Services [LS],adsas.ls@ateneo.edu,ADSAS,,,,
Office of the Associate Dean for Student Formation [LS],adsf.ls@ateneo.edu,OADSF,,,,
LS Agenda Committee [LS],agenda.ls@ateneo.edu,Agenda Committee,,,,
American Historical Collection [RL],ahc.rl.ls@ateneo.edu,AHC,,,,
Ateneo Junior Summer Seminar [LS],ajss.admissions.ls@ateneo.edu,AJSS,,,,
Atenista Ka Application [LS],akapp.ls@ateneo.edu,AKApp,,,,
Ateneo Library of Women's Writings (ALIWW) [LS],aliww.ls@ateneo.edu,ALIWW,,,,
Loyola Schools Bookstore [LS],bookstore.ls@ateneo.edu,LS Bookstore,,,,
Bulatao Center [LS],bulataocenter.ls@ateneo.edu,Bulatao,,,,
Office of Campus Ministry [LS],campusministry.ls@ateneo.edu,OCM,,,,
Cataloging [RL],cataloging.rl.ls@ateneo.edu,Cataloging,,,,
Office of the Associate Dean for Graduate Programs [LS],ched.adgp.ls@ateneo.edu,OADGP,,,,
Lead Coordinating Office for the Loyola Schools [LS],chedget.adsas.ls@ateneo.edu,LCOLS,,,,
Circulation [RL],circulation.rl.ls@ateneo.edu,Circulation,,,,
Computer Services [RL],cs.rl.ls@ateneo.edu,Computer Services,,,,
RL Director [RL],director.rl.ls@ateneo.edu,RL Director,,,,
Director's Office [RL],do.rl.ls@ateneo.edu,RL Director's Office,,,,
Campus Events Management [LS],events.adsas.ls@ateneo.edu,CEM,,,,
Facilities Section [RL],facilities.rl.ls@ateneo.edu,Facilities,,,,
Filipiniana [RL],filipiniana.rl.ls@ateneo.edu,Filipiniana,,,,
LS Faculty Social Involvement Coordinator [LS],fsic.ls@ateneo.edu,FSIC,,,,
Office of Guidance and Counseling [LS],guidance.ls@ateneo.edu,LSOGC,,,,
Office of Health Services [LS],healthservices.ls@ateneo.edu,LSHS,,,,
Human Resource Services for Staff and Maintenance,hrserv.adsas.ls@ateneo.edu,HRSERV,,,,
HR Support [LS],hrsupport.ls@ateneo.edu,HR Support,,,,
Indexing [RL],indexing.rl.ls@ateneo.edu,Indexing,,,,
Introduction to Ateneo Culture & Traditions [LS],intact.ls@ateneo.edu,INTACT,,,,
Coordinator for Internationalization for Loyola Schools [LS],internationalization.ls@ateneo.edu,Internationalization,,,,
Junior Engagement Program [LS],jeep.ls@ateneo.edu,JEEP,,,,
Loyola Schools Journals [LS],journals.ls@ateneo.edu,Journals,,,,
Leadership Development Program [LS],leadershipdevelopment.ls@ateneo.edu,Leadership Development,,,,
LS Childcare Place [LS],lschildcareplace.ls@ateneo.edu,CCP,,,,
Local Unit Emergency Response Teams [LS],luert.ls@ateneo.edu,LUERT,,,,
MDRC [RL],mdrc.rl.ls@ateneo.edu,MDRC,,,,
MMR [RL],mmr.rl.ls@ateneo.edu,MMR,,,,
Moodle Admin [LS],moodle.ls@ateneo.edu,Moodle,,,,
National Service Training Program [LS],nstp.ls@ateneo.edu,NSTP,,,,
Office of Administrative Services [LS],oas.ls@ateneo.edu,OAS,,,,
Office of Facilities and Sustainability [LS],ofs.ls@ateneo.edu,OFS,,,,
Office of Management Information Systems [LS],omis.ls@ateneo.edu,OMIS,,,,
Office of Admission and Aid [LS],onlineapplication.ls@ateneo.edu,OAA,,,,
Office of Student Activities [LS],osa.ls@ateneo.edu,OSA,,,,
Office for Social Concern and Involvement [LS],osci.ls@ateneo.edu,OSCI,,,,
Office of Student Services [LS],oss.ls@ateneo.edu,OSS,,,,
Pardo de Tavera [RL],pardo.rl.ls@ateneo.edu,Pardo de Tavera,,,,
Physical Education Program [LS],pe.ls@ateneo.edu,PE,,,,
Photo Duplication [RL],photodup.rl.ls@ateneo.edu,Photoduplication,,,,
Ateneo Placement Office [LS],placement.ls@ateneo.edu,APO,,,,
Praxis Immersion Program [LS],praxis.ls@ateneo.edu,Praxis,,,,
LS Quality Assurance [LS],qa.ls@ateneo.edu,LSQA,,,,
Office of the Registrar [LS],registrar.ls@ateneo.edu,Registrar,,,,
Residence Halls [LS],residencehalls.ls@ateneo.edu,Residence Halls,,,,
Rizal Library [LS],rizal.library.ls@ateneo.edu,Rizal Library,,,,
Foreign Serials [RL],serials.rl.ls@ateneo.edu,Foreign Serials,,,,
Student Support and Specialized Services [LS],studentsupport.adsas.ls@ateneo.edu,SSSS,,,,
The Ateneo College Student Survey [LS],tacss.ls@ateneo.edu,TACSS,,,,
Undergraduate PAASCU 2016 [LS],ugpaascu2016.ls@ateneo.edu,UGPAASCU,,,,
