Organization Name (Full),Organization Name (Abbreviation),OBF Username,Domain
Ateneo de Manila College Glee Club,ACGC,acgc.ls,*@obf.ateneo.edu
Ateneo Chemistry Society,ACheS,aches.ls,*@obf.ateneo.edu
Ateneo Catechetical Instruction League,ACIL,acil.ls,*@obf.ateneo.edu
Ateneo Christian Life Community,ACLC,aclc.ls,*@obf.ateneo.edu
Ateneo College Ministry Group,ACMG,acmg.ls,*@obf.ateneo.edu
Ateneo Association of Communication Majors ,ACOMM,acomm.ls,*@obf.ateneo.edu
Association of Communications Technology Majors ,ACTM,actm.ls,*@obf.ateneo.edu
Ateneo Debate Society,ADS,ads.ls,*@obf.ateneo.edu
Ateneo Economics Association,AEA,aea.ls,*@obf.ateneo.edu
Ateneo Electronics and Communication Engineering Society,AECES,aeces.ls,*@obf.ateneo.edu
Ateneo Environmental Science Society ,AESS,aess.ls,*@obf.ateneo.edu
Ateneo European Studies Society ,AEUSS,aeuss.ls,*@obf.ateneo.edu
AIESEC - Ateneo de Manila,AIESEC,aiesec.ls,*@obf.ateneo.edu
Ateneo Junior Marketing Association,AJMA,ajma.ls,*@obf.ateneo.edu
Ateneo Lingua Ars Cultura,ALAC,alac.ls,*@obf.ateneo.edu
Ateneo Lex,ALEX,alex.ls,*@obf.ateneo.edu
Ateneo Management Association,AMA,ama.ls,*@obf.ateneo.edu
Ateneo Musicians' Pool,AMP,amp.ls,*@obf.ateneo.edu
Ateneo Mathematics Society,AMS,ams.ls,*@obf.ateneo.edu
Ateneo Project for Asian & International Relations,APAIR,apair.ls,*@obf.ateneo.edu
Ateneo Student Exchange Council,ASEC,asec.ls,*@obf.ateneo.edu
Ateneo Assembly,Assembly,assembly.ls,*@obf.ateneo.edu
Ateneo Statistics Circle,AStat,astat.ls,*@obf.ateneo.edu
Ateneo Student Catholic Action,AtSCA,atsca.ls,*@obf.ateneo.edu
Baybayin,Baybayin,baybayin.ls,*@obf.ateneo.edu
Ateneo Blue Repertory,BlueREP,bluerep.ls,*@obf.ateneo.edu
Ateneo Blue Symphony,BlueSymph,bluesymph.ls,*@obf.ateneo.edu
Ateneo Biological Organization,BOx,box.ls,*@obf.ateneo.edu
Company of Ateneo Dancers,CADs,cads.ls,*@obf.ateneo.edu
Ateneo Celadon,Celadon,celadon.ls,*@obf.ateneo.edu
Council of Organizations of the Ateneo,COA,coa.ls,*@obf.ateneo.edu
Ateneo Consultants Organization Development and Empowerment,CODE,code.ls,*@obf.ateneo.edu
Computer Society of Ateneo,CompSAt,compsat.ls,*@obf.ateneo.edu
Ateneo Collegiate Society of Advertising,COSA,cosa.ls,*@obf.ateneo.edu
Development of Society of the Ateneo,DEVSOC,devsoc.ls,*@obf.ateneo.edu
Ateneo Education Geard Towards Empowerment,EDGE,edge.ls,*@obf.ateneo.edu
"Ateneo ENterteynment para sa TAo, Bayan, LAnsangan, at DiyOs",ENTABLADO,entablado.ls,*@obf.ateneo.edu
Ateneo Gabay,Gabay,gabay.ls,*@obf.ateneo.edu
Kythe-Ateneo,Kythe,kythe.ls,*@obf.ateneo.edu
Ateneo League of Physicists,LeaPs,leaps.ls,*@obf.ateneo.edu
Loyola Film Circle,LFC,lfc.ls,*@obf.ateneo.edu
Loyola Mountaineers,LM,lm.ls,*@obf.ateneo.edu
Ateneo Management of Applied Chemistry Association,MACA,maca.ls,*@obf.ateneo.edu
Management Engineering Association,MEA,mea.ls,*@obf.ateneo.edu
Ateneo Managment Economics Organization,MECO,meco.ls,*@obf.ateneo.edu
Management Information Systems Association,MISA,misa.ls,*@obf.ateneo.edu
Musmos Ateneo,Musmos,musmos.ls,*@obf.ateneo.edu
Ateneo PEERS,PEERS,peers.ls,*@obf.ateneo.edu
Pre-medical Society of Ateneo,PMSA,pmsa.ls,*@obf.ateneo.edu
Ateneo Psyche,Psyche,psyche.ls,*@obf.ateneo.edu
Ateneo Special Education Society,SPEED,speed.ls,*@obf.ateneo.edu
Tanghalang Ateneo,TA,ta.ls,*@obf.ateneo.edu
Tugon Ateneo,Tugon,tugon.ls,*@obf.ateneo.edu
Youth for Christ Ateneo,YFC-A,yfca.ls,*@obf.ateneo.edu
